Date,Open,High,Low,Close,Volume
2026-04-20 13:00:00,150.255,151.0,148.77,150.09,11825195
2026-04-21 13:00:00,152.2,152.65,146.4,146.79,12940184
2026-04-22 13:00:00,151.96,155.98,151.45,155.8,17034444
2026-04-23 13:00:00,153.29,154.86,148.06,150.59,18088547
2026-04-24 13:00:00,153.36,155.58,152.41,154.57,14966780
2026-04-27 13:00:00,157.02,158.1,155.81,156.73,11361174
2026-04-28 13:00:00,153.93,155.725,152.411,154.37,11492776
2026-04-29 13:00:00,156.25,156.63,152.86,153.96,12415887
2026-04-30 13:00:00,157.85,161.55,155.39,160.76,16803342
2026-05-01 13:00:00,159.91,164.18,159.66,162.0,9840023
2026-05-04 13:00:00,165.226,167.83,162.24,163.59,14601647
2026-05-05 13:00:00,168.34,175.29,168.26,173.47,21110444
2026-05-06 13:00:00,180.52,182.205,176.86,181.98,21163392
2026-05-07 13:00:00,181.3,181.89,176.14,176.75,17754678
2026-05-08 13:00:00,183.73,190.41,183.43,190.2,21526150
2026-05-11 13:00:00,190.87,194.58,189.99,192.85,17208340
2026-05-12 13:00:00,181.99,185.31,173.6,178.5,39313493
2026-05-13 13:00:00,187.51,189.33,183.86,188.63,18868353
2026-05-14 13:00:00,189.0,191.23,188.08,190.52,10027401
2026-05-15 13:00:00,178.96,181.345,176.7,178.86,21737591
2026-05-18 13:00:00,182.45,182.79,173.15,176.1,17191376
2026-05-19 13:00:00,168.27,178.32,167.17,174.02,17827442
2026-05-20 13:00:00,173.99,180.3,173.585,180.11,16532511
2026-05-21 13:00:00,183.05,187.29,181.81,186.42,20544986
2026-05-22 13:00:00,185.82,186.22,181.48,182.03,11829314
2026-05-26 13:00:00,194.38,201.5,194.16,200.65,21215889
2026-05-27 13:00:00,201.81,202.58,194.69,198.29,16780856
2026-05-28 13:00:00,197.7,208.25,196.28,206.41,17578268
2026-05-29 13:00:00,206.11,208.12,204.48,205.83,10494393
2026-06-01 13:00:00,211.47,217.76,209.1,216.7,19082154
2026-06-02 13:00:00,211.17,214.65,209.67,214.53,16543844
2026-06-03 13:00:00,214.14,214.335,208.6,212.96,13981632
2026-06-04 13:00:00,199.88,205.93,196.57,203.97,17900380
2026-06-05 13:00:00,189.15,190.78,175.18,175.19,49401235
2026-06-08 13:00:00,186.88,188.8,183.31,185.64,30723367
2026-06-09 13:00:00,193.3,193.57,175.05,184.05,32951621
2026-06-10 13:00:00,183.03,189.015,178.2,178.45,19822892
2026-06-11 13:00:00,185.22,199.31,184.19,198.94,29533874
2026-06-12 13:00:00,195.145,199.98,192.7,197.45,17164759
2026-06-15 13:00:00,207.86,211.67,206.57,211.45,19500110
2026-06-16 13:00:00,210.22,213.78,204.49,205.91,19036102
2026-06-17 13:00:00,210.67,213.28,204.87,205.08,16255332
2026-06-18 13:00:00,215.0,220.89,214.35,219.2,18398506
2026-06-22 13:00:00,218.28,220.69,217.1,219.02,10772899
2026-06-23 13:00:00,193.6,201.05,191.33,192.2,43444511
2026-06-24 13:00:00,199.35,200.0,191.805,197.26,21161552
2026-06-25 13:00:00,209.36,210.48,199.15,205.0,21052429
2026-06-26 13:00:00,195.21,202.0,194.09,197.28,17108228
2026-06-29 13:00:00,195.96,197.54,188.76,197.5,13495747
2026-06-30 13:00:00,197.19,202.9,196.94,201.9,16575573
2026-07-01 13:00:00,189.7,192.16,184.81,185.5,28567228
2026-07-02 13:00:00,184.66,188.68,174.45,180.14,31714504
2026-07-06 13:00:00,189.99,192.25,188.64,189.85,16759245
2026-07-07 13:00:00,181.85,183.915,177.37,181.29,23664090
2026-07-08 13:00:00,174.745,183.11,174.42,182.72,23158912
2026-07-09 13:00:00,183.65,185.43,181.9,184.75,20468754
2026-07-10 13:00:00,181.46,184.92,179.24,183.52,20039959
2026-07-13 13:00:00,170.31,172.2,167.44,168.02,35909576
2026-07-14 13:00:00,173.67,177.52,171.605,176.98,29670258
2026-07-15 13:00:00,175.76,176.15,165.75,171.64,28751009
2026-07-16 13:00:00,166.68,167.68,161.85,163.36,23258994
2026-07-17 13:00:00,156.605,169.0,154.2,162.54,38339342
2026-07-20 13:00:00,165.17,167.56,164.91,165.03,1813612
