Date,Open,High,Low,Close,Volume
2026-05-05 13:00:00,471.14,486.1808,470.23,482.73,7203047
2026-05-06 13:00:00,497.96,506.94,487.86,506.87,9768591
2026-05-07 13:00:00,502.93,503.68,488.131,492.36,9913713
2026-05-08 13:00:00,504.24,520.46,502.75,520.3,7754540
2026-05-11 13:00:00,524.08,533.74,521.66,532.76,7492556
2026-05-12 13:00:00,520.85,525.15,495.71,515.99,14660632
2026-05-13 13:00:00,527.615,532.25,515.94,528.29,7346374
2026-05-14 13:00:00,526.495,533.13,522.21,530.03,5212394
2026-05-15 13:00:00,511.67,518.7899,506.26,508.52,9388221
2026-05-18 13:00:00,518.02,519.96,486.92,495.87,9998994
2026-05-19 13:00:00,484.4,506.04,477.95,496.74,12216957
2026-05-20 13:00:00,507.73,520.54,506.55,520.31,9457640
2026-05-21 13:00:00,518.17,526.78,515.0,524.71,6749941
2026-05-22 13:00:00,531.88,541.89,530.17,537.33,7671121
2026-05-26 13:00:00,556.99,572.95,555.41,570.09,8926183
2026-05-27 13:00:00,584.38,584.5,551.89,563.98,11412354
2026-05-28 13:00:00,564.32,575.8,554.825,569.47,6763852
2026-05-29 13:00:00,576.44,582.23,564.6,569.08,7323862
2026-06-01 13:00:00,563.67,577.99,557.38,571.93,6999459
2026-06-02 13:00:00,585.17,605.44,581.925,605.02,7475392
2026-06-03 13:00:00,616.21,618.84,598.01,615.68,8564687
2026-06-04 13:00:00,587.64,611.26,577.54,602.72,11445307
2026-06-05 13:00:00,577.86,580.5,539.57,539.77,22377273
2026-06-08 13:00:00,569.765,581.3799,560.79,571.45,12843005
2026-06-09 13:00:00,585.45,588.58,522.24,562.14,24548093
2026-06-10 13:00:00,551.66,572.51,539.38,541.51,16672232
2026-06-11 13:00:00,555.42,588.0,554.81,586.93,12295375
2026-06-12 13:00:00,584.11,602.69,578.53,596.25,9947173
2026-06-15 13:00:00,622.61,629.7199,618.45,628.45,8170771
2026-06-16 13:00:00,623.84,629.64,590.63,591.24,11204901
2026-06-17 13:00:00,611.56,621.99,598.95,599.73,8948401
2026-06-18 13:00:00,626.52,644.43,626.15,639.45,9666034
2026-06-22 13:00:00,653.955,655.95,643.93,655.01,7782678
2026-06-23 13:00:00,607.64,619.94,598.19,603.39,12712187
2026-06-24 13:00:00,606.19,609.69,586.66,601.5,9230658
2026-06-25 13:00:00,637.33,638.47,598.83,625.2,12792291
2026-06-26 13:00:00,601.44,605.89,588.51,589.94,11017450
2026-06-29 13:00:00,593.71,615.3499,571.6,614.35,11036773
2026-06-30 13:00:00,616.15,644.94,616.15,640.76,10112580
2026-07-01 13:00:00,616.815,622.89,597.88,599.7,9983015
2026-07-02 13:00:00,601.235,608.11,554.91,566.32,16150385
2026-07-06 13:00:00,583.153,598.0,580.48,581.51,8419387
2026-07-07 13:00:00,551.925,558.06,536.12,551.69,12285700
2026-07-08 13:00:00,544.66,564.5,543.87,562.03,7195380
2026-07-09 13:00:00,589.5,594.99,579.14,581.7,10026208
2026-07-10 13:00:00,571.99,585.79,566.67,581.34,5861000
2026-07-13 13:00:00,563.58,566.65,550.26,553.61,8306989
2026-07-14 13:00:00,580.51,580.67,560.24,567.92,7372256
2026-07-15 13:00:00,575.12,575.88,538.53,555.27,10199570
2026-07-16 13:00:00,539.05,545.55,525.43,530.5,10343317
2026-07-17 13:00:00,508.545,533.19,498.542,521.81,15576818
2026-07-20 13:00:00,534.175,539.53,531.2,532.9,1123320
